model,class_label,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency
elo_logistic,0,0.0,0.1,1602,0.06494202569099963,0.08739076154806492
elo_logistic,0,0.1,0.2,2701,0.15180155051983535,0.1769714920399852
elo_logistic,0,0.2,0.30000000000000004,2867,0.2499966786239019,0.27206138821067316
elo_logistic,0,0.30000000000000004,0.4,2385,0.3465302670583714,0.33962264150943394
elo_logistic,0,0.4,0.5,1573,0.44733111456236185,0.47107438016528924
elo_logistic,0,0.5,0.6000000000000001,1119,0.546403947754818,0.5308310991957105
elo_logistic,0,0.6000000000000001,0.7000000000000001,746,0.6460110651616996,0.6179624664879356
elo_logistic,0,0.7000000000000001,0.8,308,0.7403585555913068,0.7142857142857143
elo_logistic,0,0.8,0.9,42,0.8238773064586467,0.7142857142857143
elo_logistic,1,0.0,0.1,18,0.09285056178721512,0.05555555555555555
elo_logistic,1,0.1,0.2,1824,0.1701715114056557,0.16611842105263158
elo_logistic,1,0.2,0.30000000000000004,11501,0.2529238931803015,0.26128162768454916
elo_logistic,2,0.0,0.1,314,0.07581479968977102,0.1178343949044586
elo_logistic,2,0.1,0.2,1196,0.1530855416043511,0.17892976588628762
elo_logistic,2,0.2,0.30000000000000004,1711,0.2512642018154174,0.24780829924021042
elo_logistic,2,0.30000000000000004,0.4,2201,0.3531799293983336,0.34120854157201275
elo_logistic,2,0.4,0.5,2536,0.4496901285264944,0.42902208201892744
elo_logistic,2,0.5,0.6000000000000001,2191,0.5485831395125208,0.4970333181195801
elo_logistic,2,0.6000000000000001,0.7000000000000001,1673,0.6468945949379566,0.6210400478182905
elo_logistic,2,0.7000000000000001,0.8,1149,0.745685707129349,0.7249782419495213
elo_logistic,2,0.8,0.9,369,0.8316330438701377,0.8184281842818428
elo_logistic,2,0.9,1.0,3,0.905433736562164,1.0
feature_logistic,0,0.0,0.1,1610,0.06142922080488542,0.09006211180124224
feature_logistic,0,0.1,0.2,2636,0.15112284468765044,0.17412746585735964
feature_logistic,0,0.2,0.30000000000000004,2896,0.24952657915241974,0.26726519337016574
feature_logistic,0,0.30000000000000004,0.4,2380,0.34714784587473707,0.34705882352941175
feature_logistic,0,0.4,0.5,1595,0.4458665926649852,0.45956112852664577
feature_logistic,0,0.5,0.6000000000000001,1085,0.547055897877103,0.5382488479262673
feature_logistic,0,0.6000000000000001,0.7000000000000001,732,0.6473942841248903,0.6010928961748634
feature_logistic,0,0.7000000000000001,0.8,342,0.7424802793446096,0.7017543859649122
feature_logistic,0,0.8,0.9,67,0.8322769270897239,0.7910447761194029
feature_logistic,1,0.0,0.1,142,0.08499051615874971,0.09154929577464789
feature_logistic,1,0.1,0.2,2226,0.16558534903000482,0.18104222821203952
feature_logistic,1,0.2,0.30000000000000004,9988,0.25374015231766456,0.2592110532639167
feature_logistic,1,0.30000000000000004,0.4,983,0.3158939242082682,0.30925737538148523
feature_logistic,1,0.4,0.5,4,0.44340037763059476,0.0
feature_logistic,2,0.0,0.1,471,0.07105698280303198,0.10828025477707007
feature_logistic,2,0.1,0.2,1185,0.15252329265188524,0.1949367088607595
feature_logistic,2,0.2,0.30000000000000004,1649,0.2519040725830939,0.25288053365676166
feature_logistic,2,0.30000000000000004,0.4,2252,0.35285283885759994,0.338809946714032
feature_logistic,2,0.4,0.5,2530,0.4496811582829314,0.41699604743083
feature_logistic,2,0.5,0.6000000000000001,2057,0.5479576289264738,0.5172581429265921
feature_logistic,2,0.6000000000000001,0.7000000000000001,1559,0.6478212323060715,0.6196279666452854
feature_logistic,2,0.7000000000000001,0.8,1059,0.7466208643694746,0.7252124645892352
feature_logistic,2,0.8,0.9,530,0.8397492968341436,0.7924528301886793
feature_logistic,2,0.9,1.0,51,0.9123518094026711,0.8823529411764706
naive_base_rate,0,0.2,0.30000000000000004,3758,0.2954023540102285,0.33528472591804154
naive_base_rate,0,0.30000000000000004,0.4,9585,0.3086830492676123,0.31236306729264474
naive_base_rate,1,0.2,0.30000000000000004,13343,0.24555552107929224,0.24799520347747883
naive_base_rate,2,0.4,0.5,13343,0.44950188178359446,0.4331859401933598
poisson_score_model,0,0.0,0.1,1088,0.06558342676881891,0.078125
poisson_score_model,0,0.1,0.2,2414,0.15327467175795212,0.14705882352941177
poisson_score_model,0,0.2,0.30000000000000004,3093,0.2507347675129379,0.25121241513094084
poisson_score_model,0,0.30000000000000004,0.4,2856,0.3471324843995813,0.3392857142857143
poisson_score_model,0,0.4,0.5,1766,0.44623738989921996,0.45186862967157415
poisson_score_model,0,0.5,0.6000000000000001,1085,0.5450971137572707,0.5493087557603686
poisson_score_model,0,0.6000000000000001,0.7000000000000001,662,0.6449345293479609,0.6117824773413897
poisson_score_model,0,0.7000000000000001,0.8,288,0.7426041116541305,0.6944444444444444
poisson_score_model,0,0.8,0.9,85,0.8366742335327796,0.7647058823529411
poisson_score_model,0,0.9,1.0,6,0.9217048913859051,0.6666666666666666
poisson_score_model,1,0.0,0.1,241,0.07704786751638139,0.1037344398340249
poisson_score_model,1,0.1,0.2,2416,0.16471973408793647,0.17549668874172186
poisson_score_model,1,0.2,0.30000000000000004,10686,0.2446748904950044,0.26763990267639903
poisson_score_model,2,0.0,0.1,237,0.07162625411538676,0.10970464135021098
poisson_score_model,2,0.1,0.2,1050,0.15603854775613293,0.16380952380952382
poisson_score_model,2,0.2,0.30000000000000004,1703,0.25338258759988436,0.23957721667645332
poisson_score_model,2,0.30000000000000004,0.4,2535,0.35322050112769504,0.3301775147928994
poisson_score_model,2,0.4,0.5,2724,0.4490563422426516,0.42951541850220265
poisson_score_model,2,0.5,0.6000000000000001,2160,0.546809305241811,0.5231481481481481
poisson_score_model,2,0.6000000000000001,0.7000000000000001,1502,0.6463931835769183,0.6364846870838882
poisson_score_model,2,0.7000000000000001,0.8,911,0.7455639412072136,0.7222832052689352
poisson_score_model,2,0.8,0.9,447,0.8410675708058385,0.7986577181208053
poisson_score_model,2,0.9,1.0,74,0.9257240829078618,0.8918918918918919
xgboost_classifier,0,0.0,0.1,1262,0.07112402045913335,0.098256735340729
xgboost_classifier,0,0.1,0.2,2940,0.1533802039971968,0.1649659863945578
xgboost_classifier,0,0.2,0.30000000000000004,3246,0.24764827778419446,0.2603203943314849
xgboost_classifier,0,0.30000000000000004,0.4,2181,0.3486916986778754,0.36405318661164604
xgboost_classifier,0,0.4,0.5,1480,0.44715148027281504,0.46959459459459457
xgboost_classifier,0,0.5,0.6000000000000001,1096,0.5487846628810368,0.5301094890510949
xgboost_classifier,0,0.6000000000000001,0.7000000000000001,804,0.6443480741028762,0.6144278606965174
xgboost_classifier,0,0.7000000000000001,0.8,300,0.7393011490503947,0.7033333333333334
xgboost_classifier,0,0.8,0.9,34,0.8189364391214707,0.7352941176470589
xgboost_classifier,1,0.0,0.1,263,0.08225968075002554,0.1482889733840304
xgboost_classifier,1,0.1,0.2,2841,0.1589272219434627,0.17986624428018302
xgboost_classifier,1,0.2,0.30000000000000004,8656,0.25811853102113974,0.2635166358595194
xgboost_classifier,1,0.30000000000000004,0.4,1576,0.31644865034649217,0.30076142131979694
xgboost_classifier,1,0.4,0.5,7,0.41169274704796927,0.5714285714285714
xgboost_classifier,2,0.0,0.1,60,0.08991228764255842,0.11666666666666667
xgboost_classifier,2,0.1,0.2,1366,0.15986040255292094,0.1720351390922401
xgboost_classifier,2,0.2,0.30000000000000004,1848,0.25135610929944296,0.24134199134199133
xgboost_classifier,2,0.30000000000000004,0.4,2421,0.3524019299386602,0.3399421726559273
xgboost_classifier,2,0.4,0.5,2623,0.45049239332058755,0.4315669081204727
xgboost_classifier,2,0.5,0.6000000000000001,1979,0.5457761419006163,0.5169277412834765
xgboost_classifier,2,0.6000000000000001,0.7000000000000001,1348,0.6484557647556509,0.6283382789317508
xgboost_classifier,2,0.7000000000000001,0.8,1147,0.747029061668732,0.7271142109851787
xgboost_classifier,2,0.8,0.9,511,0.8362101006181273,0.7827788649706457
xgboost_classifier,2,0.9,1.0,40,0.9135324448347092,0.825
