date,season,competition,stage,home_team_raw,away_team_raw,home_team,away_team,home_goals,away_goals,result
2015-08-07,2015_16,Ligue 1,,Lille,Paris SG,Lille,Paris SG,0,1,0
2015-08-08,2015_16,Ligue 1,,Bastia,Rennes,Bastia,Rennes,2,1,2
2015-08-08,2015_16,Ligue 1,,Marseille,Caen,Marseille,Caen,0,1,0
2015-08-08,2015_16,Ligue 1,,Montpellier,Angers,Montpellier,Angers,0,2,0
2015-08-08,2015_16,Ligue 1,,Nantes,Guingamp,Nantes,Guingamp,1,0,2
2015-08-08,2015_16,Ligue 1,,Nice,Monaco,Nice,Monaco,1,2,0
2015-08-08,2015_16,Ligue 1,,Troyes,Ajaccio GFCO,Troyes,Ajaccio GFCO,0,0,1
2015-08-08,2015_16,Premier League,,Bournemouth,Aston Villa,Bournemouth,Aston Villa,0,1,0
2015-08-08,2015_16,Premier League,,Chelsea,Swansea,Chelsea,Swansea,2,2,1
2015-08-08,2015_16,Premier League,,Everton,Watford,Everton,Watford,2,2,1
2015-08-08,2015_16,Premier League,,Leicester,Sunderland,Leicester,Sunderland,4,2,2
2015-08-08,2015_16,Premier League,,Man United,Tottenham,Man United,Tottenham,1,0,2
2015-08-08,2015_16,Premier League,,Norwich,Crystal Palace,Norwich,Crystal Palace,1,3,0
2015-08-09,2015_16,Ligue 1,,Bordeaux,Reims,Bordeaux,Reims,1,2,0
2015-08-09,2015_16,Ligue 1,,Lyon,Lorient,Lyon,Lorient,0,0,1
2015-08-09,2015_16,Ligue 1,,Toulouse,St Etienne,Toulouse,St Etienne,2,1,2
2015-08-09,2015_16,Premier League,,Arsenal,West Ham,Arsenal,West Ham,0,2,0
2015-08-09,2015_16,Premier League,,Newcastle,Southampton,Newcastle,Southampton,2,2,1
2015-08-09,2015_16,Premier League,,Stoke,Liverpool,Stoke,Liverpool,0,1,0
2015-08-10,2015_16,Premier League,,West Brom,Man City,West Brom,Man City,0,3,0
2015-08-14,2015_16,Bundesliga,,Bayern Munich,Hamburg,Bayern Munich,Hamburg,5,0,2
2015-08-14,2015_16,Ligue 1,,Monaco,Lille,Monaco,Lille,0,0,1
2015-08-14,2015_16,Premier League,,Aston Villa,Man United,Aston Villa,Man United,0,1,0
2015-08-15,2015_16,Bundesliga,,Augsburg,Hertha,Augsburg,Hertha,0,1,0
2015-08-15,2015_16,Bundesliga,,Darmstadt,Hannover,Darmstadt,Hannover,2,2,1
2015-08-15,2015_16,Bundesliga,,Dortmund,M'gladbach,Dortmund,M'gladbach,4,0,2
2015-08-15,2015_16,Bundesliga,,Leverkusen,Hoffenheim,Leverkusen,Hoffenheim,2,1,2
2015-08-15,2015_16,Bundesliga,,Mainz,Ingolstadt,Mainz,Ingolstadt,0,1,0
