date,season,competition,stage,home_team_raw,away_team_raw,home_team,away_team,home_goals,away_goals,result,home_elo_before,away_elo_before,elo_diff,home_ppg_5_before,home_goals_for_5_before,home_goals_against_5_before,home_goal_difference_5_before,home_venue_ppg_5_before,home_venue_goals_for_5_before,home_venue_goals_against_5_before,home_venue_goal_difference_5_before,home_ppg_10_before,home_goals_for_10_before,home_goals_against_10_before,home_goal_difference_10_before,home_venue_ppg_10_before,home_venue_goals_for_10_before,home_venue_goals_against_10_before,home_venue_goal_difference_10_before,home_days_since_match_before,home_matches_last_7_before,home_matches_last_14_before,home_matches_last_30_before,home_opponent_adjusted_goal_difference_38_before,home_goals_against_top_opponents_38_before,home_ppg_top_opponents_38_before,home_ucl_matches_before,away_ppg_5_before,away_goals_for_5_before,away_goals_against_5_before,away_goal_difference_5_before,away_venue_ppg_5_before,away_venue_goals_for_5_before,away_venue_goals_against_5_before,away_venue_goal_difference_5_before,away_ppg_10_before,away_goals_for_10_before,away_goals_against_10_before,away_goal_difference_10_before,away_venue_ppg_10_before,away_venue_goals_for_10_before,away_venue_goals_against_10_before,away_venue_goal_difference_10_before,away_days_since_match_before,away_matches_last_7_before,away_matches_last_14_before,away_matches_last_30_before,away_opponent_adjusted_goal_difference_38_before,away_goals_against_top_opponents_38_before,away_ppg_top_opponents_38_before,away_ucl_matches_before,is_champions_league,is_new_ucl_format,ppg_5_diff,goals_for_5_diff,goals_against_5_diff,goal_difference_5_diff,venue_ppg_5_diff,venue_goals_for_5_diff,venue_goals_against_5_diff,venue_goal_difference_5_diff,ppg_10_diff,goals_for_10_diff,goals_against_10_diff,goal_difference_10_diff,venue_ppg_10_diff,venue_goals_for_10_diff,venue_goals_against_10_diff,venue_goal_difference_10_diff,rest_days_diff,matches_last_7_diff,matches_last_14_diff,matches_last_30_diff,opponent_adjusted_goal_difference_38_diff,goals_against_top_opponents_38_diff,ppg_top_opponents_38_diff,ucl_experience_matches_diff,home_away_goal_difference_balance_diff
2015-08-07,2015_16,Ligue 1,,Lille,Paris SG,Lille,Paris SG,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Bastia,Rennes,Bastia,Rennes,2,1,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Marseille,Caen,Marseille,Caen,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Montpellier,Angers,Montpellier,Angers,0,2,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Nantes,Guingamp,Nantes,Guingamp,1,0,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Nice,Monaco,Nice,Monaco,1,2,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Ligue 1,,Troyes,Ajaccio GFCO,Troyes,Ajaccio GFCO,0,0,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Bournemouth,Aston Villa,Bournemouth,Aston Villa,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Chelsea,Swansea,Chelsea,Swansea,2,2,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Everton,Watford,Everton,Watford,2,2,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Leicester,Sunderland,Leicester,Sunderland,4,2,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Man United,Tottenham,Man United,Tottenham,1,0,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-08,2015_16,Premier League,,Norwich,Crystal Palace,Norwich,Crystal Palace,1,3,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Ligue 1,,Bordeaux,Reims,Bordeaux,Reims,1,2,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Ligue 1,,Lyon,Lorient,Lyon,Lorient,0,0,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Ligue 1,,Toulouse,St Etienne,Toulouse,St Etienne,2,1,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Premier League,,Arsenal,West Ham,Arsenal,West Ham,0,2,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Premier League,,Newcastle,Southampton,Newcastle,Southampton,2,2,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-09,2015_16,Premier League,,Stoke,Liverpool,Stoke,Liverpool,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-10,2015_16,Premier League,,West Brom,Man City,West Brom,Man City,0,3,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-14,2015_16,Bundesliga,,Bayern Munich,Hamburg,Bayern Munich,Hamburg,5,0,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-14,2015_16,Ligue 1,,Monaco,Lille,Monaco,Lille,0,0,1,1510.0,1490.0,20.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,6,1,1,1,1.0,,,0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,7,1,1,1,-1.0,,,0,0,0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,-1,0,0,0,2.0,,,0,0.0
2015-08-14,2015_16,Premier League,,Aston Villa,Man United,Aston Villa,Man United,0,1,0,1510.0,1510.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,6,1,1,1,1.0,,,0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,6,1,1,1,1.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,0,0.0
2015-08-15,2015_16,Bundesliga,,Augsburg,Hertha,Augsburg,Hertha,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-15,2015_16,Bundesliga,,Darmstadt,Hannover,Darmstadt,Hannover,2,2,1,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-15,2015_16,Bundesliga,,Dortmund,M'gladbach,Dortmund,M'gladbach,4,0,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-15,2015_16,Bundesliga,,Leverkusen,Hoffenheim,Leverkusen,Hoffenheim,2,1,2,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
2015-08-15,2015_16,Bundesliga,,Mainz,Ingolstadt,Mainz,Ingolstadt,0,1,0,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,0,
