rank,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Arsenal FC (ENG),8,8,0,0,23,4,19,24
2,FC Bayern München (GER),8,7,0,1,22,8,14,21
3,Liverpool FC (ENG),8,6,0,2,20,8,12,18
4,Tottenham Hotspur FC (ENG),8,5,2,1,17,7,10,17
5,FC Barcelona (ESP),8,5,1,2,22,14,8,16
6,Chelsea FC (ENG),8,5,1,2,17,10,7,16
7,Sporting Clube de Portugal (POR),8,5,1,2,17,11,6,16
8,Manchester City FC (ENG),8,5,1,2,15,9,6,16
9,Real Madrid CF (ESP),8,5,0,3,21,12,9,15
10,FC Internazionale Milano (ITA),8,5,0,3,15,7,8,15
11,Paris Saint-Germain FC (FRA),8,4,2,2,21,11,10,14
12,Newcastle United FC (ENG),8,4,2,2,17,7,10,14
13,Juventus FC (ITA),8,3,4,1,14,10,4,13
14,Club Atlético de Madrid (ESP),8,4,1,3,17,15,2,13
15,Atalanta BC (ITA),8,4,1,3,10,10,0,13
16,Bayer 04 Leverkusen (GER),8,3,3,2,13,14,-1,12
17,Borussia Dortmund (GER),8,3,2,3,19,17,2,11
18,PAE Olympiakos SFP (GRE),8,3,2,3,10,14,-4,11
19,Club Brugge KV (BEL),8,3,1,4,15,17,-2,10
20,Galatasaray SK (TUR),8,3,1,4,9,11,-2,10
21,AS Monaco FC (MCO),8,2,4,2,8,14,-6,10
22,Qarabağ Ağdam FK (AZE),8,3,1,4,13,21,-8,10
23,FK Bodø/Glimt (NOR),8,2,3,3,14,15,-1,9
24,Sport Lisboa e Benfica (POR),8,3,0,5,10,12,-2,9
25,Olympique de Marseille (FRA),8,3,0,5,11,14,-3,9
26,Paphos FC (CYP),8,2,3,3,8,11,-3,9
27,Royale Union Saint-Gilloise (BEL),8,3,0,5,8,17,-9,9
28,PSV (NED),8,2,2,4,16,16,0,8
29,Athletic Club (ESP),8,2,2,4,9,14,-5,8
30,SSC Napoli (ITA),8,2,2,4,9,15,-6,8
31,FC København (DEN),8,2,2,4,12,21,-9,8
32,AFC Ajax (NED),8,2,0,6,8,21,-13,6
33,Eintracht Frankfurt (GER),8,1,1,6,10,21,-11,4
34,SK Slavia Praha (CZE),8,0,3,5,5,19,-14,3
35,Villarreal CF (ESP),8,0,1,7,5,18,-13,1
36,FK Kairat (KAZ),8,0,1,7,7,22,-15,1
