date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,BSC Young Boys (SUI),Aston Villa FC (ENG),0,3
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,Juventus FC (ITA),PSV (NED),3,1
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,Sporting Clube de Portugal (POR),Lille OSC (FRA),2,0
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,FC Bayern München (GER),GNK Dinamo Zagreb (CRO),9,2
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,Real Madrid CF (ESP),VfB Stuttgart (GER),3,1
2024-09-17,2024_25,Champions League,"League, Matchday 1",league_phase,AC Milan (ITA),Liverpool FC (ENG),1,3
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,Bologna FC 1909 (ITA),FK Shakhtar Donetsk (UKR),0,0
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),3,0
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,Manchester City FC (ENG),FC Internazionale Milano (ITA),0,0
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,Paris Saint-Germain FC (FRA),Girona FC (ESP),1,0
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,Club Brugge KV (BEL),Borussia Dortmund (GER),0,3
2024-09-18,2024_25,Champions League,"League, Matchday 1",league_phase,Celtic FC (SCO),ŠK Slovan Bratislava (SVK),5,1
2024-09-19,2024_25,Champions League,"League, Matchday 1",league_phase,Feyenoord Rotterdam (NED),Bayer 04 Leverkusen (GER),0,4
2024-09-19,2024_25,Champions League,"League, Matchday 1",league_phase,FK Crvena Zvezda (SRB),Sport Lisboa e Benfica (POR),1,2
2024-09-19,2024_25,Champions League,"League, Matchday 1",league_phase,AS Monaco FC (MCO),FC Barcelona (ESP),2,1
