source_name,canonical_name
1. FC Union Berlin (GER),Union Berlin
1899 Hoffenheim (GER),Hoffenheim
AC Milan (ITA),Milan
AS Monaco (FRA),Monaco
AS Monaco FC (MCO),Monaco
AS Roma (ITA),Roma
Arsenal FC (ENG),Arsenal
Aston Villa FC (ENG),Aston Villa
Atalanta BC (ITA),Atalanta
Atalanta (ITA),Atalanta
Athletic Club (ESP),Ath Bilbao
Atlético Madrid (ESP),Ath Madrid
Bayer 04 Leverkusen (GER),Leverkusen
Bayer Leverkusen (GER),Leverkusen
Bayern München (GER),Bayern Munich
Bologna FC 1909 (ITA),Bologna
Bor. Mönchengladbach (GER),M'gladbach
Borussia Dortmund (GER),Dortmund
Chelsea FC (ENG),Chelsea
Club Atlético de Madrid (ESP),Ath Madrid
Eintracht Frankfurt (GER),Ein Frankfurt
FC Barcelona (ESP),Barcelona
FC Bayern München (GER),Bayern Munich
FC Internazionale Milano (ITA),Inter
FC Schalke 04 (GER),Schalke 04
Girona FC (ESP),Girona
Inter (ITA),Inter
Juventus FC (ITA),Juventus
Juventus (ITA),Juventus
Lazio Roma (ITA),Lazio
Leicester City (ENG),Leicester
Lille OSC (FRA),Lille
Liverpool FC (ENG),Liverpool
Manchester City (ENG),Man City
Manchester City FC (ENG),Man City
Manchester United (ENG),Man United
Manchester United FC (ENG),Man United
Newcastle United FC (ENG),Newcastle
Olympique Lyonnais (FRA),Lyon
Olympique Marseille (FRA),Marseille
Olympique de Marseille (FRA),Marseille
Paris Saint-Germain (FRA),Paris SG
Paris Saint-Germain FC (FRA),Paris SG
Racing Club de Lens (FRA),Lens
RB Leipzig (GER),RB Leipzig
Real Madrid (ESP),Real Madrid
Real Madrid CF (ESP),Real Madrid
Real Sociedad de Fútbol (ESP),Sociedad
SS Lazio (ITA),Lazio
SSC Napoli (ITA),Napoli
Sevilla FC (ESP),Sevilla
Stade Brestois 29 (FRA),Brest
Stade Rennais (FRA),Rennes
Tottenham Hotspur (ENG),Tottenham
Tottenham Hotspur FC (ENG),Tottenham
Valencia CF (ESP),Valencia
VfB Stuttgart (GER),Stuttgart
VfL Wolfsburg (GER),Wolfsburg
Villarreal CF (ESP),Villarreal
SL Benfica (POR),Benfica
Sport Lisboa e Benfica (POR),Benfica
PSV (NED),PSV Eindhoven
PSV Eindhoven (NED),PSV Eindhoven
Shakhtar Donetsk (UKR),Shakhtar Donetsk
FK Shakhtar Donetsk (UKR),Shakhtar Donetsk
RB Salzburg (AUT),Salzburg
FC Red Bull Salzburg (AUT),Salzburg
Sporting CP (POR),Sp Lisbon
Sporting Clube de Portugal (POR),Sp Lisbon
Sporting Clube de Braga (POR),Sp Braga
Feyenoord (NED),Feyenoord
Feyenoord Rotterdam (NED),Feyenoord
Galatasaray (TUR),Galatasaray
Galatasaray SK (TUR),Galatasaray
Crvena Zvezda (SRB),Crvena Zvezda
FK Crvena Zvezda (SRB),Crvena Zvezda
Dinamo Zagreb (CRO),Dinamo Zagreb
GNK Dinamo Zagreb (CRO),Dinamo Zagreb
Olympiakos Piraeus (GRE),Olympiakos
PAE Olympiakos SFP (GRE),Olympiakos
Slavia Praha (CZE),Slavia Praha
SK Slavia Praha (CZE),Slavia Praha
Qarabağ FK (AZE),Qarabag
Qarabağ Ağdam FK (AZE),Qarabag
AFC Ajax (NED),Ajax
FC Porto (POR),Porto
Club Brugge KV (BEL),Club Brugge
Celtic FC (SCO),Celtic
Rangers FC (SCO),Rangers
Beşiktaş (TUR),Besiktas
İstanbul Başakşehir (TUR),Buyuksehyr
FC København (DEN),FC Copenhagen
FC Midtjylland (DEN),Midtjylland
BSC Young Boys (SUI),Young Boys
FC Basel 1893 (SUI),Basel
SK Sturm Graz (AUT),Sturm Graz
KAA Gent (BEL),Gent
KRC Genk (BEL),Genk
RSC Anderlecht (BEL),Anderlecht
Royal Antwerp FC (BEL),Antwerp
Royale Union Saint-Gilloise (BEL),St. Gilloise
AEK Athen (GRE),AEK
West Ham United (ENG),West Ham
Brighton & Hove Albion (ENG),Brighton
SC Freiburg (GER),Freiburg
Real Betis (ESP),Betis
Real Betis Balompié (ESP),Betis
CA Osasuna (ESP),Osasuna
Athletic Bilbao (ESP),Ath Bilbao
OGC Nice (FRA),Nice
FC Nantes (FRA),Nantes
Stade Rennais FC (FRA),Rennes
Toulouse FC (FRA),Toulouse
